 ST3215 Memory Table Parsing -V3.7,,,,,,,,,,,,
,,,No-load speed（RPM）,,50 ,,Test voltage (V),,,7.4V,,
1F,,31,0x1F,Position correction,2,0,EPROM,read/write,-2047,2047,Step,"BIT11 is the direction bit, indicating the positive and negative direction, and other bits can indicate the range of 0-2047 steps."
21,,33,0x21,Operation mode,1,0,EPROM,read/write,0,3,None,"0: position servo mode 
1: motor constant speed mode, controlled by parameter 0x2E running speed parameter, the highest bit BIT15 is direction bit.
2: PWM open-loop speed regulation mode, controlled by parameter 0x2Cthe  running time parameter, BIT10 is direction bit 
3: step servo mode, and the target position of parameter 0x2A is used to indicate the number of steps, and the highest bit BIT15 is the direction bit. When working 
In mode 3, the minimum and maximum angle limits of 0x9 and 0xB must be set to 0. Otherwise, it is impossible to step indefinitely."
22,,34,0x22,Protection torque,1,20,EPROM,read/write,0,100,1.0%,"Output torque after entering overload protection. If 20 is set, it means 20% of the maximum torque."
23,,35,0x23,Protection time,1,200,EPROM,read/write,0,254,10ms,"The duration for which the current load output exceeds the overload torque and remains is represented by a value, such as 200, which indicates 2 seconds. The maximum value that can be set is 2.5 seconds."
24,,36,0x24,Overload torque,1,80,EPROM,read/write,0,100,1.0%,"The maximum torque threshold for starting the overload protection time countdown can be represented by a value, such as 80, indicating 80% of the maximum torque."
25,,37,0x25,Speed closed-loop proportional (P) coefficient,1,10,EPROM,read/write,0,100,None,Proportional coefficient of speed loop in motor constant speed mode (mode 1)
26,,38,0x26,Overcurrent protection time,1,200,EPROM,read/write,0,254,10ms,The maximum setting is 254 * 10ms = 2540ms.
27,,39,0x27,Velocity closed-loop integral (I) coefficient,1,10,EPROM,read/write,0,254,1/10,"In the motor constant speed mode (mode 1), the speed loop integral coefficient (change note: the speed closed loop I integral coefficient is reduced by 10 times compared with version 3.6)."
28,,40,0x28,Torque switch,1,0,SRAM,read/write,0,128,None,Write 0: disable the torque output; Write 1: enable the torque output; Write 128: Arbitrary current position correction to 2048.
29,,41,0x29,Acceleration,1,0,SRAM,read/write,0,254,100 step/s^2,"If set to 10, it corresponds to an acceleration and deceleration rate of 1000 steps per second squared."
2A,,42,0x2A,Target location,2,0,SRAM,read/write,-30719,30719,Step,"Each step corresponds to the minimum resolution angle, and it is used in absolute position control mode. The maximum number of steps corresponds to the maximum effective angle."
2C,,44,0x2C,Operation time,2,0,SRAM,read/write,0,1000,0.10%,"In the PWM open-loop speed control mode, the value range is from 50 to 1000, and BIT10 serves as the direction bit."
2E,,46,0x2E,Operation speed,2,0,SRAM,read/write,0,3400,step/s,"Number of steps per unit time (per second), 50 steps per second = 0.732 RPM (revolutions per minute)"
30,,48,0x30,Torque limit,2,1000,SRAM,read/write,0,1000,1.0%,"The initial value of power-on will be assigned by the maximum torque (0x10), which can be modified by the user to control the output of the maximum torque."
37,,55,0x37,Lock flag,1,0,SRAM,read/write,0,1,None,"Writing 0: Disables the write lock, allowing values written to the EPROM address to be saved even after power loss.
Writing 1: Enables the write lock, preventing values written to the EPROM address from being saved after power loss."
38,,56,0x38,Current location,2,0,SRAM,read only,-1,-1,Step,"Feedback the number of steps in the current position, each step is a minimum resolution angle; Absolute position control mode, the maximum value corresponds to the maximum effective angle."
3A,,58,0x3A,Current speed,2,0,SRAM,read only,-1,-1,step/s,Feedback the current speed of motor rotation and the number of steps in unit time (per second).
3C,,60,0x3C,Current load,2,0,SRAM,read only,-1,-1,0.1%,The voltage duty cycle of the current control output driving motor.
3E,,62,0x3E,Current voltage,1,0,SRAM,read only,-1,-1,0.1V,Current servo operation voltage
3F,,63,0x3F,Current temperature,1,0,SRAM,read only,-1,-1,°C,Current servo internal operating temperature
40,,64,0x40,Asynchronous write flag,1,0,SRAM,read only,-1,-1,None,The flag bit for using asynchronous write instructions
41,,65,0x41,Servo status,1,0,SRAM,read only,-1,-1,None,"Bit0  Bit1  Bit2 Bit3 Bit4 Bit5 the corresponding bit is set to 1 to indicate that the corresponding error occurs,
Voltage Sensor Temperature Current Angle Overload the corresponding bit is set to 0 to indicate that there is no corresponding error."
42,,66,0x42,Move flag,1,0,SRAM,read only,-1,-1,None,"The sign of the servo is 1 when it is moving, and 0 when it is stopped."
45,,69,0x45,Current current,2,0,SRAM,read only,-1,-1,6.5mA,The maximum measurable current is 500 * 6.5mA= 3250mA.
